Year,Genre
1874,Documentary
1880,Short
1881,Documentary
1883,Documentary
1887,Short
1888,Short
1889,Short
1890,Short
1891,Short
1892,Short
1893,Short
1894,Short
1895,Short
1896,Short
1897,Short
1898,Short
1899,Short
1900,Short
1901,Short
1902,Short
1903,Short
1904,Short
1905,Short
1906,Short
1907,Short
1908,Short
1909,Short
1910,Short
1911,Short
1912,Short
1913,Short
1914,Short
1915,Short
1916,Short
1917,Short
1918,Short
1919,Short
1920,Short
1921,Short
1922,Short
1923,Short
1924,Short
1925,Short
1926,Short
1927,Short
1928,Short
1929,Short
1930,Short
1931,Short
1932,Short
1933,Short
1934,Short
1935,Short
1936,Short
1937,Short
1938,Short
1939,Short
1940,Short
1941,Short
1942,Short
1943,Short
1944,Short
1945,Short
1946,Short
1947,Short
1948,Short
1949,Short
1950,Drama
1951,Drama
1952,Drama
1953,Drama
1954,Drama
1955,Drama
1956,Drama
1957,Drama
1958,Drama
1959,Drama
1960,Drama
1961,Drama
1962,Drama
1963,Drama
1964,Drama
1965,Drama
1966,Drama
1967,Drama
1968,Drama
1969,Drama
1970,Drama
1971,Drama
1972,Drama
1973,Drama
1974,Drama
1975,Drama
1976,Drama
1977,Drama
1978,Drama
1979,Drama
1980,Drama
1981,Drama
1982,Drama
1983,Drama
1984,Drama
1985,Drama
1986,Drama
1987,Drama
1988,Drama
1989,Drama
1990,Drama
1991,Drama
1992,Drama
1993,Drama
1994,Short
1995,Short
1996,Short
1997,Short
1998,Short
1999,Short
2000,Short
2001,Short
2002,Short
2003,Short
2004,Short
2005,Short
2006,Short
2007,Short
2008,Short
2009,Short
2010,Short
2011,Short
2012,Short
2013,Short
2014,Short
2015,Drama
2016,Drama
